Description,Solvent 1,Solvent 2,Solvent 3,Solvent 1_Molarity,Solvent 2_Molarity,Solvent 3_Molarity,Salt 1,Salt 2,Salt 3,Salt 1_Molarity,Salt 2_Molarity,Salt 3_Molarity,FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,CE (%),LCE,Current (mA/cm2),Capacity (mAh/cm2),Cycle
2.2 M LITFSI 0.8 M LIDFP DME,DME,,,9.631602308033731,,,LiTFSI,LiDFP,,2.2,0.8,,0.34477610088385047,0.691024596435647,0.49893462933480176,1.2081887477614226,0.07624714168114882,0.0,0.07624714168114882,0.15281990304582457,0.09924083051312538,0.05357907253269917,0.2211497301747004,0.19848166102625076,0.02266806914844965,94.9,1.2924298239020642,1.0,1.0,12.0
1 M LIPF6-EC/DEC (1:1 VOL.) + 5 VOL% FEC,EC,DEC,FEC,7.494719629352049,4.126809447219165,0.6854998397043016,LiPF6,,,1.0,,,0.14799210630166101,0.817295568904966,0.18107538072174392,0.9874239566889411,0.04074418396051011,0.00417771778378318,0.03656646617672694,0.22501227830149448,0.22501227830149448,0.0,0.2753132243246734,0.2753132243246734,0.0,95.0,1.3010299956639817,0.5,0.5,100.0
0.02M LI2S5 0.15M LINO3 1M LITFSI DOL-DME (1:1 VOL),DOL,DME,,4.8158011540168655,7.15462080509733,,LiNO3,Li2S5,,1.0,0.15,0.02,0.14042620794908087,0.6644697586518395,0.21133573969415154,0.8809601625733392,0.03475366799258471,0.0,0.03475366799258471,0.16444766059390037,0.13867202349940005,0.025775637094500328,0.24748705031746307,0.23590249431993485,0.011584555997528237,95.0,1.3010299956639817,0.5,0.5,100.0
1 M LIFSI IN DEG-FTRIEG,DEG-FTriEG,,,2.4279247463721587,,,LiFSI,,,1.0,,,0.5514842975206612,0.6029685950413223,0.9146152918343402,1.2316793388429752,0.14204647776692145,0.12878560496239672,0.013260872804524737,0.1553073505714462,0.12878560496239672,0.026521745609049473,0.25757120992479343,0.25757120992479343,0.0,95.0,1.3010299956639817,0.1,0.2,30.0
1 M LIDFOB EC-DEC (3:7 WT),EC,DEC,,3.604119180576201,6.269086607859447,,LiDFOB,,,1.0,,,0.045292121133872584,0.7613518910919642,0.05948907681691398,0.829290072792773,0.012587740425648383,0.0,0.012587740425648383,0.2115975083020523,0.1864220274507555,0.025175480851296766,0.27792340280204714,0.2653356623763988,0.012587740425648383,95.0,1.3010299956639817,0.1,0.1,500.0
1 M LIPF6 FEC-EMC-DMC (34.6:57.2:8.2 WT),FEC,EMC,DMC,3.8200003625552177,6.048632152209076,1.1336924985453742,LiPF6,,,1.0,,,0.2514363767088479,0.8451276887732866,0.297512884797102,1.1221685835499347,0.06523452294825938,0.02537636375897499,0.039858159189284384,0.21926621091637108,0.21926621091637108,0.0,0.2594474347830666,0.2594474347830666,0.0,95.0,1.3010299956639817,1.0,1.0,100.0
1 M LIPF6 IN EC/DEC + 0.15M LIDFP,EC,DEC,,6.368062430168407,4.747179494840347,,LiPF6,LiDFP,,1.0,0.15,,0.14705853255430865,0.7853795332063556,0.18724518062488085,0.9592820836078793,0.03986588478281899,0.0,0.03986588478281899,0.21290740113992376,0.21100902567407526,0.001898375465848523,0.27108855290730266,0.27108855290730266,0.0,95.2,1.3187587626244135,0.5,1.0,10.0
1 M LIPF6 FEC-DMC (1:1 V) 1.75WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.10825274675383639,LiPF6,,,1.0,,,0.32752499229327803,0.9889675660933781,0.331178699405753,1.3419709740330257,0.08521560929040217,0.045441691009710364,0.0397739182806918,0.2573100547931008,0.2573100547931008,0.0,0.2601804787284659,0.2601804787284659,0.0,95.35,1.3325470471100462,1.0,1.0,50.0
LIFSI-1.4DME-3TFEB,,,,,,,,,,,,,1.2288135593220337,0.6694915254237288,1.8354430379746833,2.1525423728813555,0.27001862197392923,0.25139664804469275,0.018621973929236497,0.14711359404096835,0.10986964618249534,0.037243947858472994,0.21973929236499068,0.21973929236499068,0.0,95.4,1.3372421683184266,0.5,1.0,10.0
1 M LIPF6 FEC-DMC (1:1 V) 1.5WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.09278806864614547,LiPF6,,,1.0,,,0.32856065621442143,0.9905137261688779,0.3317073227094315,1.3446333631055372,0.08546091835598948,0.0455725034143053,0.03988841494168419,0.2576395289013605,0.2576395289013605,0.0,0.2601069748905571,0.2601069748905571,0.0,95.58,1.354577730650908,1.0,1.0,50.0
